source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,5,14,1106,1.3089404276991567,0.198992964580883,2.537952047008235,-1.9521541415646821,0.054508569327406914
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,6,14,1092,0.5964573152063557,-0.15129024391708046,1.4776132189286926,-1.259086368727395,0.2118027948295258
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,1,234,19422,1.1913608400961229,0.9637828386056365,1.4724364592106236,-9.972679892992424,8.453200345793669e-16
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,2,234,19188,1.5632411012806213,1.2163265820725768,1.9901043064731148,-8.03346367533067,6.4546746763697916e-12
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,3,234,18954,1.3562392725706918,1.0296957202197237,1.717291198279009,-6.544171418811601,5.252830544811102e-09
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,4,234,18720,1.3687864170848218,0.947695437686694,1.8385284481430608,-5.779128838819844,1.4277053222575074e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,5,234,18486,1.2818379586472917,0.8328027364135709,1.7514147606807422,-5.047981502828046,2.8540519603447616e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,6,234,18252,1.9348779576435549,1.4550004840997033,2.498225083678562,-6.0863925617172345,4.2001553629838963e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,1,199,16517,1.2801535816811094,1.0375273770510975,1.5731500640165659,-9.780258694208143,2.030793926725305e-15
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,2,199,16318,1.6984065773566592,1.3734247683292973,2.1237348383901384,-8.599476478664307,4.922612305724703e-13
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,3,199,16119,1.435376652681064,1.092330232867027,1.8041492947972426,-6.77451786492231,1.9175663409944533e-09
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,4,199,15920,1.4739393261695821,1.0751578683553122,1.9352252111965271,-6.235125540864013,2.075747659477904e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,5,199,15721,1.3883585966111722,0.9303884197770489,1.8575148335648983,-5.492904867426282,4.785133546854303e-07
