name,fold,n_train_obs,n_fo_train,rho,q,r_grace,r_fo,r_ratio,r_fo_fallback,r_grace_at_boundary,r_fo_at_boundary,two_converged,rho_one,q_one,r_one,r_one_at_boundary,one_converged,loglik_one,loglik_two,lr_stat,lr_p,rho_two_raw,q_two_raw,r_grace_raw,r_fo_raw,r_ratio_raw,loglik_two_raw,lr_stat_raw,lr_p_raw
C_Crimea_West_Azov_Sea_Coast,f1,173,10,0.8791848753349842,0.1526792669989052,0.2708891343503153,0.2708891343503153,1.0,True,False,False,True,0.8791848753349842,0.1526792669989052,0.2708891343503153,False,True,-192.46898681989978,-192.46898681989978,0.0,1.0,0.8799492430166607,0.14945056130489826,0.2862210926227633,0.06176538118827,0.21579604990774104,-191.23677930804183,2.464415023715901,0.1164510496741251
C_Cuba,f1,173,10,0.5287629846120742,0.7313228776712433,7.743029867677313e-05,7.743029867677313e-05,1.0,True,True,False,True,0.5287629846120742,0.7313228776712433,7.743029867677313e-05,False,True,-220.9840675772964,-220.9840675772964,0.0,1.0,0.5294692348145084,0.7103300370961072,5.662583060220472e-07,0.32674889957203357,577031.5350735211,-220.5112329169974,0.9456693205980287,0.3308240896999962
C_Deccan_Plateau_East_Indian_Subcontinent_Coast,f1,173,10,0.8322284728356909,0.29827417441713283,0.010037929583353951,0.010037929583353951,1.0,True,False,True,True,0.8322284728356909,0.29827417441713283,0.010037929583353951,False,True,-151.55213005262775,-151.55213005262775,0.0,1.0,0.8380842919068671,0.28613930729933107,0.018552957519935336,5.499673712963736e-07,2.9643110577137267e-05,-151.49335331132042,0.11755348261465315,0.7317032332478594
C_Denmark_Germany_Coast,f1,173,10,0.887164553723372,0.08049212917060361,0.6217748986974463,0.6217748986974463,1.0,True,False,False,True,0.887164553723372,0.08049212917060361,0.6217748986974463,False,True,-229.54459562341182,-229.54459562341182,0.0,1.0,0.8905959085407126,0.08428705996839997,0.6360229411949588,0.2482385236517891,0.3902980656411528,-228.678698548701,1.7317941494216598,0.1881819301948059
C_East_Australia_Coast,f1,173,10,0.9072428380091323,0.17089679472489916,0.042045685465488904,0.042045685465488904,1.0,True,False,False,True,0.9072428380091323,0.17089679472489916,0.042045685465488904,False,True,-128.50245187607453,-128.50245187607453,0.0,1.0,0.8976768031322037,0.19090826473747516,0.02486984607796723,0.10214923014280995,4.107352728383241,-127.8952817364321,1.214340279284869,0.2704742410898685
C_East_Azov_Sea_Northeast_Black_Sea_Coast,f1,173,10,0.8807326461767168,0.13737453123969867,0.3494242669124928,0.3494242669124928,1.0,True,False,False,True,0.8807326461767168,0.13737453123969867,0.3494242669124928,False,True,-203.56928751358416,-203.56928751358416,0.0,1.0,0.8794614314943489,0.13919650204241601,0.3518639834393589,0.2763008926888351,0.7852491465255452,-203.5131262175422,0.11232259208389905,0.7375152348367867
C_East_Barents_Sea_Coast,f1,173,10,0.8163015013177358,0.28490353306184174,0.22157770917517863,0.22157770917517863,1.0,True,False,False,True,0.8163015013177358,0.28490353306184174,0.22157770917517863,False,True,-204.37265459434826,-204.37265459434826,0.0,1.0,0.830243632144946,0.2582512516329378,0.2532609416381298,0.04541509417701578,0.17932135086943976,-203.49726273960385,1.7507837094888146,0.18577823949967504
C_East_Beaufort_Sea_Amundsen_Gulf_Coast,f1,173,10,0.8365972291526924,0.17412757741282744,0.37098396058403676,0.37098396058403676,1.0,True,False,False,True,0.8365972291526924,0.17412757741282744,0.37098396058403676,False,True,-211.35892157496858,-211.35892157496858,0.0,1.0,0.8292919510236686,0.18350909629586845,0.3779006148138761,0.11274663612423136,0.2983499674372359,-210.54867120168444,1.6205007465682684,0.203021979755204
C_East_Brazil_South_Atlantic_Coast,f1,173,10,0.8324285155459616,0.2888396184914632,0.02980340547138291,0.02980340547138291,1.0,True,False,False,True,0.8324285155459616,0.2888396184914632,0.02980340547138291,False,True,-157.01669375903302,-157.01669375903302,0.0,1.0,0.8325565674263901,0.2885585877182034,0.030048113774408722,0.028862824920241545,0.960553635310824,-157.01659555972668,0.00019639861267251035,0.9888186291025083
C_East_Caspian_Sea_Coast,f1,173,10,0.9361209069736314,0.10935001001569163,0.25840779050171037,0.25840779050171037,1.0,True,False,False,True,0.9361209069736314,0.10935001001569163,0.25840779050171037,False,True,-183.29604160806295,-183.29604160806295,0.0,1.0,0.9453097052447733,0.09065233027557516,0.25426155281043417,0.7424910424271188,2.920186061243346,-181.69481188292173,3.202459450282447,0.07352762008848686
